Epoch: [2][80/157]	Time 1.274	ELBO 3.31710e+05	 MSE: 5.5316e+02	 MSM: 0.0000e+00
Epoch: [2][85/157]	Time 1.196	ELBO 3.28274e+05	 MSE: 5.5661e+02	 MSM: 0.0000e+00
Epoch: [2][90/157]	Time 1.264	ELBO 3.37055e+05	 MSE: 5.4782e+02	 MSM: 0.0000e+00
Epoch: [2][95/157]	Time 1.215	ELBO 3.67455e+05	 MSE: 5.1742e+02	 MSM: 0.0000e+00
Epoch: [2][100/157]	Time 1.188	ELBO 3.43072e+05	 MSE: 5.4179e+02	 MSM: 0.0000e+00
Epoch: [2][105/157]	Time 1.206	ELBO 3.70422e+05	 MSE: 5.1444e+02	 MSM: 0.0000e+00
Epoch: [2][110/157]	Time 1.255	ELBO 3.65831e+05	 MSE: 5.1903e+02	 MSM: 0.0000e+00
Epoch: [2][115/157]	Time 1.168	ELBO 3.66045e+05	 MSE: 5.1880e+02	 MSM: 0.0000e+00
Epoch: [2][120/157]	Time 1.164	ELBO 3.70091e+05	 MSE: 5.1477e+02	 MSM: 0.0000e+00
Epoch: [2][125/157]	Time 1.179	ELBO 4.00030e+05	 MSE: 4.8481e+02	 MSM: 0.0000e+00
Epoch: [2][130/157]	Time 1.200	ELBO 3.95761e+05	 MSE: 4.8909e+02	 MSM: 0.0000e+00
Epoch: [2][135/157]	Time 1.223	ELBO 3.92560e+05	 MSE: 4.9227e+02	 MSM: 0.0000e+00
Epoch: [2][140/157]	Time 1.200	ELBO 3.90237e+05	 MSE: 4.9460e+02	 MSM: 0.0000e+00
Epoch: [2][145/157]	Time 1.209	ELBO 4.08714e+05	 MSE: 4.7612e+02	 MSM: 0.0000e+00
Epoch: [2][150/157]	Time 1.201	ELBO 4.05072e+05	 MSE: 4.7976e+02	 MSM: 0.0000e+00
Epoch: [2][155/157]	Time 1.204	ELBO 3.96680e+05	 MSE: 4.8814e+02	 MSM: 0.0000e+00
tensor([[0.3333, 0.3333, 0.3333],
        [0.3333, 0.3333, 0.3333],
        [0.3333, 0.3333, 0.3333]], device='cuda:0')
tensor([0.3333, 0.3333, 0.3333], device='cuda:0')
8.590683010253905
Epoch: [3][5/157]	Time 1.165	ELBO 4.18994e+05	 MSE: 4.6583e+02	 MSM: 0.0000e+00
Epoch: [3][10/157]	Time 1.219	ELBO 4.10442e+05	 MSE: 4.7437e+02	 MSM: 0.0000e+00
Epoch: [3][15/157]	Time 1.170	ELBO 4.03009e+05	 MSE: 4.8180e+02	 MSM: 0.0000e+00
Epoch: [3][20/157]	Time 1.247	ELBO 4.09883e+05	 MSE: 4.7493e+02	 MSM: 0.0000e+00
Epoch: [3][25/157]	Time 1.168	ELBO 4.05250e+05	 MSE: 4.7955e+02	 MSM: 0.0000e+00
Epoch: [3][30/157]	Time 1.199	ELBO 4.27633e+05	 MSE: 4.5717e+02	 MSM: 0.0000e+00
Epoch: [3][35/157]	Time 1.308	ELBO 4.28642e+05	 MSE: 4.5615e+02	 MSM: 0.0000e+00
Epoch: [3][40/157]	Time 1.177	ELBO 4.44845e+05	 MSE: 4.3995e+02	 MSM: 0.0000e+00
Epoch: [3][45/157]	Time 1.221	ELBO 4.18960e+05	 MSE: 4.6584e+02	 MSM: 0.0000e+00
Epoch: [3][50/157]	Time 1.196	ELBO 4.41685e+05	 MSE: 4.4310e+02	 MSM: 0.0000e+00
Epoch: [3][55/157]	Time 1.204	ELBO 4.33871e+05	 MSE: 4.5090e+02	 MSM: 0.0000e+00
Epoch: [3][60/157]	Time 1.194	ELBO 4.32557e+05	 MSE: 4.5221e+02	 MSM: 0.0000e+00
Epoch: [3][65/157]	Time 1.199	ELBO 4.51348e+05	 MSE: 4.3343e+02	 MSM: 0.0000e+00
Epoch: [3][70/157]	Time 1.184	ELBO 4.47756e+05	 MSE: 4.3701e+02	 MSM: 0.0000e+00
Epoch: [3][75/157]	Time 1.199	ELBO 4.28419e+05	 MSE: 4.5635e+02	 MSM: 0.0000e+00
Epoch: [3][80/157]	Time 1.187	ELBO 4.56076e+05	 MSE: 4.2869e+02	 MSM: 0.0000e+00
Epoch: [3][85/157]	Time 1.274	ELBO 4.36732e+05	 MSE: 4.4803e+02	 MSM: 0.0000e+00
Epoch: [3][90/157]	Time 1.174	ELBO 4.54788e+05	 MSE: 4.2996e+02	 MSM: 0.0000e+00
Epoch: [3][95/157]	Time 1.167	ELBO 4.74053e+05	 MSE: 4.1070e+02	 MSM: 0.0000e+00
Epoch: [3][100/157]	Time 1.257	ELBO 4.56636e+05	 MSE: 4.2812e+02	 MSM: 0.0000e+00
Epoch: [3][105/157]	Time 1.198	ELBO 4.30342e+05	 MSE: 4.5441e+02	 MSM: 0.0000e+00
Epoch: [3][110/157]	Time 1.287	ELBO 4.68297e+05	 MSE: 4.1645e+02	 MSM: 0.0000e+00
Epoch: [3][115/157]	Time 1.152	ELBO 4.59684e+05	 MSE: 4.2506e+02	 MSM: 0.0000e+00
Epoch: [3][120/157]	Time 1.137	ELBO 4.59580e+05	 MSE: 4.2516e+02	 MSM: 0.0000e+00
Epoch: [3][125/157]	Time 1.171	ELBO 4.62778e+05	 MSE: 4.2197e+02	 MSM: 0.0000e+00
Epoch: [3][130/157]	Time 1.258	ELBO 4.66734e+05	 MSE: 4.1800e+02	 MSM: 0.0000e+00
Epoch: [3][135/157]	Time 1.193	ELBO 4.68580e+05	 MSE: 4.1615e+02	 MSM: 0.0000e+00
